都道府県,KEY_CODE,人口,緯度,経度,最寄り店舗距離_km
青森県,60407346,3365,40.62083333333334,140.45624999999998,0.239
青森県,60407347,3097,40.62083333333334,140.46875,0.633
青森県,60407348,4216,40.62083333333334,140.48125,0.805
青森県,60407349,1985,40.62083333333334,140.49375,0.601
青森県,60407350,132,40.62916666666667,140.38125,3.994
青森県,60407351,303,40.62916666666667,140.39374999999998,3.065
青森県,60407352,285,40.62916666666667,140.40625,2.25
青森県,60407353,253,40.62916666666667,140.41875,1.72
青森県,60407354,273,40.62916666666667,140.43125,1.755
青森県,60407355,119,40.62916666666667,140.44375,1.027
青森県,60407356,2457,40.62916666666667,140.45624999999998,0.034
青森県,60407357,181,40.62916666666667,140.46875,0.848
青森県,60407358,1315,40.62916666666667,140.48125,0.972
青森県,60407359,1678,40.62916666666667,140.49375,0.373
青森県,60407361,131,40.6375,140.39374999999998,3.65
青森県,60407362,109,40.6375,140.40625,2.998
青森県,60407363,344,40.6375,140.41875,2.624
青森県,60407364,306,40.6375,140.43125,2.287
青森県,60407365,47,40.6375,140.44375,1.396
青森県,60407366,619,40.6375,140.45624999999998,0.917
青森県,60407367,130,40.6375,140.46875,1.231
青森県,60407368,314,40.6375,140.48125,1.562
青森県,60407369,517,40.6375,140.49375,1.278
青森県,60407372,338,40.645833333333336,140.40625,3.825
青森県,60407373,108,40.645833333333336,140.41875,3.539
青森県,60407374,191,40.645833333333336,140.43125,2.8
青森県,60407375,676,40.645833333333336,140.44375,2.136
青森県,60407376,157,40.645833333333336,140.45624999999998,1.832
青森県,60407377,162,40.645833333333336,140.46875,2.007
青森県,60407378,85,40.645833333333336,140.48125,2.169
青森県,60407379,590,40.645833333333336,140.49375,1.285
青森県,60407380,32,40.65416666666668,140.38125,5.734
青森県,60407382,373,40.65416666666668,140.40625,4.69
青森県,60407383,265,40.65416666666668,140.41875,4.204
青森県,60407384,65,40.65416666666668,140.43125,3.488
青森県,60407385,512,40.65416666666668,140.44375,2.982
青森県,60407386,513,40.65416666666668,140.45624999999998,2.754
青森県,60407387,46,40.65416666666668,140.46875,2.869
青森県,60407388,350,40.65416666666668,140.48125,1.823
青森県,60407389,2287,40.65416666666668,140.49375,0.798
青森県,60407390,178,40.66250000000001,140.38125,6.477
青森県,60407393,164,40.66250000000001,140.41875,4.87
青森県,60407394,1059,40.66250000000001,140.43125,4.268
青森県,60407395,22,40.66250000000001,140.44375,3.865
青森県,60407396,169,40.66250000000001,140.45624999999998,3.679
青森県,60407398,72,40.66250000000001,140.48125,1.913
青森県,60407399,305,40.66250000000001,140.49375,0.986
青森県,60407400,148,40.587500000000006,140.50625,1.181
青森県,60407401,272,40.587500000000006,140.51874999999998,1.482
青森県,60407402,440,40.587500000000006,140.53125,2.119
青森県,60407403,388,40.587500000000006,140.54375,1.244
青森県,60407404,1746,40.587500000000006,140.55625,0.361
青森県,60407405,1811,40.587500000000006,140.56875,0.133
青森県,60407406,690,40.587500000000006,140.58124999999998,1.0
青森県,60407407,638,40.587500000000006,140.59375,1.95
青森県,60407408,782,40.587500000000006,140.60625,2.972
青森県,60407409,209,40.587500000000006,140.61875,4.011
青森県,60407410,1718,40.59583333333334,140.50625,0.645
青森県,60407411,408,40.59583333333334,140.51874999999998,0.715
青森県,60407412,706,40.59583333333334,140.53125,1.675
青森県,60407413,329,40.59583333333334,140.54375,1.339
青森県,60407414,845,40.59583333333334,140.55625,0.612
青森県,60407415,334,40.59583333333334,140.56875,0.795
青森県,60407416,405,40.59583333333334,140.58124999999998,1.332
青森県,60407417,767,40.59583333333334,140.59375,2.161
青森県,60407418,213,40.59583333333334,140.60625,2.746
青森県,60407419,1,40.59583333333334,140.61875,3.555
青森県,60407420,3934,40.60416666666667,140.50625,0.177
青森県,60407421,1504,40.60416666666667,140.51874999999998,0.564
青森県,60407422,173,40.60416666666667,140.53125,1.619
青森県,60407423,144,40.60416666666667,140.54375,1.937
青森県,60407424,57,40.60416666666667,140.55625,1.529
青森県,60407425,282,40.60416666666667,140.56875,1.665
青森県,60407426,78,40.60416666666667,140.58124999999998,1.09
青森県,60407427,279,40.60416666666667,140.59375,1.353
青森県,60407428,288,40.60416666666667,140.60625,2.168
青森県,60407430,1273,40.6125,140.50625,0.162
青森県,60407431,334,40.6125,140.51874999999998,1.065
青森県,60407432,44,40.6125,140.53125,1.854
青森県,60407433,154,40.6125,140.54375,2.726
青森県,60407434,461,40.6125,140.55625,2.337
青森県,60407435,1441,40.6125,140.56875,1.286
青森県,60407436,1704,40.6125,140.58124999999998,0.264
青森県,60407437,1381,40.6125,140.59375,0.844
青森県,60407438,597,40.6125,140.60625,1.893
青森県,60407440,354,40.62083333333334,140.50625,1.013
青森県,60407441,577,40.62083333333334,140.51874999999998,1.562
青森県,60407442,265,40.62083333333334,140.53125,2.443
青森県,60407443,333,40.62083333333334,140.54375,3.24
青森県,60407444,28,40.62083333333334,140.55625,2.462
青森県,60407445,207,40.62083333333334,140.56875,1.5
青森県,60407446,732,40.62083333333334,140.58124999999998,0.817
青森県,60407447,145,40.62083333333334,140.59375,1.145
青森県,60407449,310,40.62083333333334,140.61875,2.923
青森県,60407450,108,40.62916666666667,140.50625,1.249
青森県,60407451,54,40.62916666666667,140.51874999999998,2.271
青森県,60407452,615,40.62916666666667,140.53125,2.966
青森県,60407453,571,40.62916666666667,140.54375,3.796
青森県,60407454,550,40.62916666666667,140.55625,2.894
青森県,60407456,34,40.62916666666667,140.58124999999998,1.297
青森県,60407457,350,40.62916666666667,140.59375,0.94
青森県,60407458,767,40.62916666666667,140.60625,1.52
青森県,60407459,547,40.62916666666667,140.61875,2.442
青森県,60407460,280,40.6375,140.50625,1.73
青森県,60407461,360,40.6375,140.51874999999998,2.052
青森県,60407462,80,40.6375,140.53125,2.767
青森県,60407463,473,40.6375,140.54375,3.65
青森県,60407464,97,40.6375,140.55625,2.831
青森県,60407465,644,40.6375,140.56875,1.937
青森県,60407466,825,40.6375,140.58124999999998,0.905
青森県,60407467,2251,40.6375,140.59375,0.149
青森県,60407468,1821,40.6375,140.60625,1.204
青森県,60407469,558,40.6375,140.61875,1.809
青森県,60407470,611,40.645833333333336,140.50625,0.804
青森県,60407471,1203,40.645833333333336,140.51874999999998,1.366
青森県,60407472,261,40.645833333333336,140.53125,2.304
青森県,60407473,280,40.645833333333336,140.54375,2.856
青森県,60407474,260,40.645833333333336,140.55625,2.566
青森県,60407475,117,40.645833333333336,140.56875,1.524
青森県,60407476,1205,40.645833333333336,140.58124999999998,0.536
青森県,60407477,2729,40.645833333333336,140.59375,0.69
青森県,60407478,3405,40.645833333333336,140.60625,0.546
青森県,60407479,538,40.645833333333336,140.61875,1.184
青森県,60407480,1372,40.65416666666668,140.50625,0.134
青森県,60407481,33,40.65416666666668,140.51874999999998,1.112
青森県,60407482,149,40.65416666666668,140.53125,1.666
青森県,60407483,78,40.65416666666668,140.54375,2.056
青森県,60407484,544,40.65416666666668,140.55625,2.621
青森県,60407485,476,40.65416666666668,140.56875,1.615
青森県,60407486,763,40.65416666666668,140.58124999999998,0.757
青森県,60407487,3460,40.65416666666668,140.59375,0.873
青森県,60407488,3131,40.65416666666668,140.60625,0.32
青森県,60407489,743,40.65416666666668,140.61875,0.921
青森県,60407490,448,40.66250000000001,140.50625,0.715
青森県,60407491,260,40.66250000000001,140.51874999999998,1.155
青森県,60407492,11,40.66250000000001,140.53125,0.749
青森県,60407493,75,40.66250000000001,140.54375,1.418
青森県,60407494,178,40.66250000000001,140.55625,2.384
青森県,60407495,232,40.66250000000001,140.56875,2.148
青森県,60407496,9,40.66250000000001,140.58124999999998,1.539
青森県,60407497,1090,40.66250000000001,140.59375,0.562
青森県,60407498,523,40.66250000000001,140.60625,0.666
青森県,60407499,459,40.66250000000001,140.61875,1.099
青森県,60407505,2,40.587500000000006,140.69375,9.724
青森県,60407522,69,40.60416666666667,140.65625,6.201
青森県,60407523,432,40.60416666666667,140.66875,7.242
青森県,60407524,297,40.60416666666667,140.68125,8.175
青森県,60407532,331,40.6125,140.65625,5.988
青森県,60407533,169,40.6125,140.66875,6.772
青森県,60407534,201,40.6125,140.68125,7.621
青森県,60407540,1,40.62083333333334,140.63125,3.798
青森県,60407541,236,40.62083333333334,140.64374999999998,4.588
青森県,60407542,122,40.62083333333334,140.65625,5.369
青森県,60407545,22,40.62083333333334,140.69375,8.094
青森県,60407550,476,40.62916666666667,140.63125,3.192
青森県,60407551,81,40.62916666666667,140.64374999999998,3.967
青森県,60407555,3,40.62916666666667,140.69375,7.759
青森県,60407556,3,40.62916666666667,140.70624999999998,8.768
青森県,60407557,10,40.62916666666667,140.71875,9.787
青森県,60407567,77,40.6375,140.71875,9.556
青森県,60407570,382,40.645833333333336,140.63125,2.174
青森県,60407580,36,40.65416666666668,140.63125,1.954
青森県,60407590,177,40.66250000000001,140.63125,2.044
青森県,60407591,29,40.66250000000001,140.64374999999998,3.061
青森県,60407663,6,40.6375,140.79375,15.673
青森県,60407664,1,40.6375,140.80625,15.76
青森県,60407674,17,40.645833333333336,140.80625,14.84
青森県,60407678,5,40.645833333333336,140.85625,15.915
青森県,60407686,8,40.65416666666668,140.83124999999998,14.348
青森県,60407688,8,40.65416666666668,140.85625,15.062
青森県,60407716,1,40.59583333333334,140.95624999999998,19.342
青森県,60413007,14,40.25416666666667,141.09375,9.338
青森県,60413017,14,40.2625,141.09375,10.117
青森県,60413024,77,40.270833333333336,141.05625,12.762
青森県,60413036,92,40.27916666666667,141.08124999999998,12.252
青森県,60413043,102,40.2875,141.04375,14.859
青森県,60413044,11,40.2875,141.05625,14.204
青森県,60413045,61,40.2875,141.06875,13.6
青森県,60413046,14,40.2875,141.08124999999998,13.054
青森県,60413050,32,40.29583333333333,141.00625,17.704
青森県,60413051,16,40.29583333333333,141.01874999999998,16.96
青森県,60413054,27,40.29583333333333,141.05625,14.959
青森県,60413055,31,40.29583333333333,141.06875,14.386
青森県,60413056,98,40.29583333333333,141.08124999999998,13.872
青森県,60413066,30,40.30416666666667,141.08124999999998,14.703
青森県,60413067,206,40.30416666666667,141.09375,14.279
青森県,60413068,53,40.30416666666667,141.10625,13.898
青森県,60413069,2,40.30416666666667,141.11875,13.014
青森県,60413076,15,40.3125,141.08124999999998,15.313
青森県,60413077,5,40.3125,141.09375,14.361
青森県,60413078,3,40.3125,141.10625,13.425
青森県,60413079,37,40.3125,141.11875,12.508
青森県,60413087,69,40.32083333333334,141.09375,13.966
青森県,60413097,17,40.32916666666667,141.09375,13.622
青森県,60413098,60,40.32916666666667,141.10625,12.631
青森県,60413099,29,40.32916666666667,141.11875,11.653
青森県,60413160,42,40.30416666666667,141.13125,12.159
青森県,60413170,147,40.3125,141.13125,11.616
青森県,60413171,3,40.3125,141.14374999999998,10.754
青森県,60413172,18,40.3125,141.15625,9.931
青森県,60413173,25,40.3125,141.16875,9.156
青森県,60413175,25,40.3125,141.19375,7.81
青森県,60413176,12,40.3125,141.20624999999998,7.276
青森県,60413177,1,40.3125,141.21875,6.865
青森県,60413181,126,40.32083333333334,141.14374999999998,10.221
青森県,60413182,12,40.32083333333334,141.15625,9.351
青森県,60413184,6,40.32083333333334,141.18125,7.753
青森県,60413185,25,40.32083333333334,141.19375,7.057
