company,store_name,address,latitude,longitude,都道府県,place_id,source
ハッピードラッグ,ハッピー・ドラッグ 青森油川店,青森県青森市油川浪返102-1,40.846487,140.705956,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森浜館店,青森県青森市浜館6-4-21,40.803592,140.789956,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森浪岡店,青森県青森市浪岡大字浪岡字若松124-1,40.705452,140.592859,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森浪打店,青森県青森市佃1-20-30,40.819786,140.780063,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森浪館店,青森県青森市浪館前田4-6-1,40.810129,140.724581,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森深浦店,青森県西津軽郡深浦町深浦苗代沢27-1,40.651665,139.942309,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森藤崎店,青森県南津軽郡藤崎町葛野新岡元109,40.656702,140.502598,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森蟹田店,青森県東津軽郡外ヶ浜町蟹田中師火箱沢29-3,41.045786,140.634884,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森西大野店,青森県青森市西大野3-13-8,40.798188,140.731644,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森観光通店,青森県青森市緑3-11-8,40.803019,140.757499,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森野辺地店,青森県上北郡野辺地町二本木25-5,40.864206,141.116413,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森階上店,青森県三戸郡階上町道仏字耳ヶ吠33-44,40.449751,141.621649,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森鰺ヶ沢店,青森県西津軽郡鰺ヶ沢町舞戸町字下富田58-1,40.771172,140.226105,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 青森鶴田店,青森県北津軽郡鶴田町鶴田沖津47-1,40.747891,140.430809,青森県,,
ハッピードラッグ,ハッピー・ドラッグ 黒石北美店,青森県黒石市北美町1-42-2,40.650746,140.606304,青森県,,
マツモトキヨシ,ドラッグストア マツモトキヨシ シンフォニープラザ八戸沼館店,青森県八戸市沼館４丁目４−８,40.529518,141.49292,青森県,,
マツモトキヨシ,ドラッグストア マツモトキヨシ 八戸石堂店,青森県八戸市石堂４丁目１５−１２,40.534271,141.480194,青森県,,
マツモトキヨシ,ドラッグストア マツモトキヨシ 弘前堅田店,青森県弘前市宮川１丁目2−１３,40.611458,140.482773,青森県,,
マツモトキヨシ,薬 マツモトキヨシ ラピア八戸店,青森県八戸市江陽２丁目１４−１ショッピングセンターラピア3F,40.520836,141.503159,青森県,,
マツモトキヨシ,薬 マツモトキヨシ 弘前駅ビルアプリーズ店,青森県弘前市表町2−１１,40.598759,140.485107,青森県,,
マツモトキヨシ,薬 マツモトキヨシ 青森＆ラビナ店,青森県青森市柳川１丁目１−５,40.828552,140.734726,青森県,,
マツモトキヨシ,薬マツモトキヨシ 青森ELM店,青森県五所川原市唐笠柳藤巻５１７−１ELM1F,40.800228,140.452988,青森県,,
薬王堂,薬王堂 おいらせモール店,青森県上北郡おいらせ町緑ヶ丘一丁目50-2,40.665264,141.365921,青森県,,
薬王堂,薬王堂 おいらせ上久保店,青森県上北郡おいらせ町上久保63番地34,40.64753,141.377304,青森県,,
薬王堂,薬王堂 おいらせ百石店,青森県上北郡おいらせ町獺野50-1,40.600449,141.425827,青森県,,
薬王堂,薬王堂 つがる木造店,青森県つがる市木造浮巣56番地1,40.815411,140.388626,青森県,,
