都道府県,市区町村,人口,重心緯度,重心経度,最寄り店舗距離_km,最寄り店舗名
福島県,南会津町,14451.0,37.1399760315,139.64672516569942,12.894,ツルハドラッグ 南会津店
福島県,北塩原村,2556.0,37.69091064,140.04918824810127,14.959,ツルハドラッグ 喜多方上江店
福島県,西会津町,5770.0,37.658874892,139.64354579889886,8.728,ウエルシア西会津店
福島県,磐梯町,3322.0,37.5743905135,139.9925857009101,6.022,ツルハドラッグ 会津河東店
福島県,猪苗代町,13552.0,37.6025434275,140.16742942727106,6.874,ツルハドラッグ 猪苗代店
福島県,会津坂下町,15068.0,37.575759027,139.79331705689611,1.407,薬王堂 メガステージ会津坂下店
福島県,湯川村,3081.0,37.5681176935,139.88043945268856,3.222,ツルハドラッグ 喜多方塩川店
福島県,柳津町,3081.0,37.461719887,139.7119162809357,10.988,ツルハドラッグ 会津高田店
福島県,三島町,1452.0,37.434589392,139.63199426215482,16.275,ウエルシア西会津店
福島県,金山町,1862.0,37.425534045,139.4934724246126,21.934,ウエルシア西会津店
福島県,昭和村,1246.0,37.300309608,139.65966717701974,14.602,ツルハドラッグ 南会津店
福島県,会津美里町,19014.0,37.406836554,139.8409803967691,6.353,ツルハドラッグ 会津高田店
福島県,西郷村,20808.0,37.169472,140.0814763280838,7.141,ツルハドラッグ 西郷店
福島県,泉崎村,6213.0,37.1564726395,140.29750379176,0.683,ツルハドラッグ 福島泉崎店
福島県,中島村,4885.0,37.1483298195,140.36145450720858,1.152,ウエルシア西白河中島店
福島県,矢吹町,17287.0,37.1908995315,140.34711996230286,0.913,ツルハドラッグ 矢吹中央インター店
福島県,棚倉町,13343.0,37.0085889145,140.33877063125402,3.421,薬王堂 福島棚倉店
福島県,矢祭町,5392.0,36.866007473,140.435844685272,0.898,ツルハドラッグ 矢祭店
福島県,塙町,8302.0,36.9295091125,140.49713319200333,8.055,薬王堂 福島塙店
福島県,鮫川村,3049.0,37.011412320000005,140.51223989036228,9.229,ツルハドラッグ 福島古殿店
福島県,石川町,14644.0,37.1399871665,140.4483472373082,0.576,薬王堂 福島石川店
福島県,玉川村,6392.0,37.2182376395,140.45616626295327,4.226,ウエルシア福島玉川店
福島県,平田村,5826.0,37.2146776395,140.56028575408544,2.489,ツルハドラッグ 福島平田店
福島県,浅川町,6036.0,37.071751693500005,140.41997541758462,1.0,ツルハドラッグ 浅川店
福島県,古殿町,4825.0,37.080429360500005,140.5833509409095,4.885,ツルハドラッグ 福島古殿店
福島県,三春町,17018.0,37.4407148875,140.49717952875034,5.645,ウエルシア田村船引店
福島県,小野町,9471.0,37.2852993735,140.5974777914025,2.355,ツルハドラッグ 小野店
福島県,広野町,5412.0,37.216195144500006,140.95586808037433,8.704,ツルハドラッグ いわき久之浜店
福島県,楢葉町,3710.0,37.2883330225,140.9549304506983,7.799,ツルハドラッグ さくらモールとみおか店
福島県,富岡町,2128.0,37.343623613000005,140.9704478566797,4.001,ツルハドラッグ さくらモールとみおか店
福島県,川内村,2044.0,37.328093919,140.81161272030425,16.97,薬王堂 福島小野店
福島県,大熊町,847.0,37.4033775995,140.94669533596235,9.353,ツルハドラッグ さくらモールとみおか店
福島県,浪江町,1923.0,37.5171816985,140.9120007806739,11.985,薬王堂 南相馬原町店
福島県,葛尾村,420.0,37.5027767525,140.77256033701815,13.752,ツルハドラッグ 田村常葉店
福島県,新地町,7905.0,37.870099446,140.89789799743806,1.828,ツルハドラッグ 新地店
福島県,飯舘村,1318.0,37.6775291935,140.74079494833964,2.035,ハシドラッグ 飯舘店
