company,store_name,address
ツルハドラッグ,ツルハドラッグ 盛岡神明町店,岩手県盛岡市神明町４−２０
ツルハドラッグ,ツルハドラッグ 盛岡神明町店,岩手県盛岡市４−２０
ツルハドラッグ,ツルハドラッグ 盛岡菜園店,岩手県盛岡市菜園２丁目７−２８
ツルハドラッグ,ツルハドラッグ 盛岡菜園店,岩手県盛岡市菜園二丁目7-28
ツルハドラッグ,ツルハドラッグ 盛岡西見前店,岩手県盛岡市西見前１４地割１４９
ツルハドラッグ,ツルハドラッグ 盛岡青山店,岩手県盛岡市月が丘２丁目１−３５
ツルハドラッグ,ツルハドラッグ 紫波中央店,岩手県紫波郡紫波町日詰中新田２１１−１
ツルハドラッグ,ツルハドラッグ 紫波中央店,岩手県紫波郡紫波町日詰字中新田211-1
ツルハドラッグ,ツルハドラッグ 紫波南店,岩手県紫波郡紫波町北日詰大日堂40番地1
ツルハドラッグ,ツルハドラッグ 紫波南店,岩手県紫波郡紫波町北日詰字大日堂40番地1
ツルハドラッグ,ツルハドラッグ 紫波店,岩手県紫波郡紫波町高水寺大坊１８３−１
ツルハドラッグ,ツルハドラッグ 紫波店,岩手県紫波郡紫波町高水寺字大坊183-1
ツルハドラッグ,ツルハドラッグ 花巻大迫店,岩手県花巻市大迫町大迫第１３地割149番地
ツルハドラッグ,ツルハドラッグ 花巻御田屋町店,岩手県花巻市御田屋町４−１６
ツルハドラッグ,ツルハドラッグ 花巻本館店,岩手県花巻市本館３丁目2−９
ツルハドラッグ,ツルハドラッグ 花巻本館店,岩手県花巻市本館三丁目2-9
ツルハドラッグ,ツルハドラッグ 花巻東店,岩手県花巻市南新田２７４−２
ツルハドラッグ,ツルハドラッグ 花巻温泉くらし館店,岩手県花巻市湯本第１地割125番地25
ツルハドラッグ,ツルハドラッグ 花巻温泉くらし館店,岩手県花巻市湯本第一地割125番地25
ツルハドラッグ,ツルハドラッグ 花巻温泉店,岩手県花巻市湯本第１地割１２５−１７
ツルハドラッグ,ツルハドラッグ 花巻石鳥谷店,岩手県花巻市石鳥谷町八幡第４地割53番2
ツルハドラッグ,ツルハドラッグ 花巻高木店,岩手県花巻市高木第１６地割６８−６
ツルハドラッグ,ツルハドラッグ 西大通店,岩手県花巻市西大通り２丁目１25号
ツルハドラッグ,ツルハドラッグ 遠野店,岩手県遠野市松崎町白岩地森２９
ツルハドラッグ,ツルハドラッグ 遠野店,岩手県遠野市松崎町白岩字地森29
ツルハドラッグ,ツルハドラッグ 遠野松崎店,岩手県遠野市松崎町白岩１９地割48番地1
ツルハドラッグ,ツルハドラッグ 金ケ崎店,岩手県胆沢郡金ケ崎町西根本宮後１5番地
ツルハドラッグ,ツルハドラッグ 釜石中妻店,岩手県釜石市中妻町２丁目１−１３
ツルハドラッグ,ツルハドラッグ 釜石店,岩手県釜石市只越町２丁目４−１７
ツルハドラッグ,ツルハドラッグ 雫石店,岩手県岩手郡雫石町千刈田９７−２
ツルハドラッグ,ツルハドラッグ 高田アップルロード店,岩手県陸前高田市米崎町西風道２４１−１
ツルハドラッグ,ツルハドラッグ 高田アップルロード店,岩手県陸前高田市米崎町字西風道241-1
ツルハドラッグ,ツルハドラッグ 高田中央店,岩手県陸前高田市高田町館の沖303番地3
ツルハドラッグ,ツルハドラッグ 高田中央店,岩手県陸前高田市高田町字館の沖303番地3
ツルハドラッグ,ツルハドラッグ 高田北店,岩手県陸前高田市竹駒町滝の里１５−１
ツルハドラッグ,ツルハドラッグ 黒石野店,岩手県盛岡市黒石野２丁目１８−１
ツルハドラッグ,証明写真機Ki-Re-i ツルハドラッグ宮古中央,岩手県宮古市保久田８−１０
ハッピードラッグ,ハッピー・ドラッグ 二戸福岡店,岩手県二戸市福岡長嶺５０−７
ハッピードラッグ,ハッピー・ドラッグ 岩手種市店,岩手県九戸郡洋野町種市第２３地割８２−１
マツモトキヨシ,ドラッグストア マツモトキヨシ アクロスプラザ盛岡みたけ店,岩手県盛岡市みたけ２丁目８−３０
マツモトキヨシ,ドラッグストア マツモトキヨシ 一関店,岩手県一関市山目寺前２０20番地
マツモトキヨシ,ドラッグストア マツモトキヨシ 上盛岡店,岩手県盛岡市北山１丁目９−３０
マツモトキヨシ,ドラッグストア マツモトキヨシ 二戸荷渡店,岩手県二戸市石切所荷渡１４−３
マツモトキヨシ,ドラッグストア マツモトキヨシ 千厩店,岩手県一関市千厩町千厩古ケ口８８
マツモトキヨシ,ドラッグストア マツモトキヨシ 水沢店,岩手県奥州市水沢田小路55番1
マツモトキヨシ,ドラッグストア マツモトキヨシ 遠野店,岩手県遠野市松崎町白岩９地割７４−１
マツモトキヨシ,薬 マツモトキヨシ アネックスカワトク店,岩手県盛岡市緑が丘４丁目１−５０
マツモトキヨシ,薬 マツモトキヨシ クロステラス盛岡店,岩手県盛岡市大通３丁目４−１
マツモトキヨシ,薬 マツモトキヨシ マイヤタウングラン店,岩手県盛岡市西仙北１丁目３８−２０
